raw,nickname,visa_type,location,major,status,submit_date,complete_date,reported_days,calc_days,observed_days,parse_ok,parse_issue,key
Update下签下签下F1RenewalOthersBME (Biomedical EngineeriClear2026-01-052026-03-0559,下签下签下,F1Renewal,Others,BME (Biomedical Engineeri,Clear,2026-01-05,2026-03-05,59,59,,1,,下签下签下|F1Renewal|2026-01-05
UpdategingerninjaF1RenewalBeiJingECEClear2026-01-082026-03-0354,gingerninja,F1Renewal,BeiJing,ECE,Clear,2026-01-08,2026-03-03,54,54,,1,,gingerninja|F1Renewal|2026-01-08
UpdateRicardoF1NewBeiJingEEClear2026-01-082026-03-0354,Ricardo,F1New,BeiJing,EE,Clear,2026-01-08,2026-03-03,54,54,,1,,Ricardo|F1New|2026-01-08
Update顺顺利利F1RenewalBeiJingInformation systemsClear2026-01-122026-03-1764,顺顺利利,F1Renewal,BeiJing,Information systems,Clear,2026-01-12,2026-03-17,64,64,,1,,顺顺利利|F1Renewal|2026-01-12
UpdateSUNF1NewShenYangComputer Information SystPending2026-01-130000-00-0073,SUN,F1New,ShenYang,Computer Information Syst,Pending,2026-01-13,0000-00-00,73,,73,1,,SUN|F1New|2026-01-13
UpdateplzzzF1RenewalBeiJingECEPending2026-01-050000-00-0081,plzzz,F1Renewal,BeiJing,ECE,Pending,2026-01-05,0000-00-00,81,,81,1,,plzzz|F1Renewal|2026-01-05
Update56698F1RenewalVancouverAviation & TransportationPending2026-01-140000-00-0072,56698,F1Renewal,Vancouver,Aviation & Transportation,Pending,2026-01-14,0000-00-00,72,,72,1,,56698|F1Renewal|2026-01-14
Update已经结束力F1RenewalShenYangBiostatisticsClear2026-01-062026-02-0429,已经结束力,F1Renewal,ShenYang,Biostatistics,Clear,2026-01-06,2026-02-04,29,29,,1,,已经结束力|F1Renewal|2026-01-06
UpdatehhanF1NewBeiJingSTEMClear2026-01-082026-03-0657,hhan,F1New,BeiJing,STEM,Clear,2026-01-08,2026-03-06,57,57,,1,,hhan|F1New|2026-01-08
Update快速approveF1RenewalBeiJingAnimal sciencesClear2026-01-202026-01-233,快速approve,F1Renewal,BeiJing,Animal sciences,Clear,2026-01-20,2026-01-23,3,3,,1,,快速approve|F1Renewal|2026-01-20
UpdateshawnF1RenewalOthersAIPending2026-01-060000-00-0080,shawn,F1Renewal,Others,AI,Pending,2026-01-06,0000-00-00,80,,80,1,,shawn|F1Renewal|2026-01-06
Update快下签！F1RenewalBeiJingECEPending2026-01-200000-00-0066,快下签！,F1Renewal,BeiJing,ECE,Pending,2026-01-20,0000-00-00,66,,66,1,,快下签！|F1Renewal|2026-01-20
Update求求了F1RenewalBeiJingBiomedical EngineeringPending2026-01-220000-00-0064,求求了,F1Renewal,BeiJing,Biomedical Engineering,Pending,2026-01-22,0000-00-00,64,,64,1,,求求了|F1Renewal|2026-01-22
