source_month,case_number,nickname,visa_type,visa_entry,consulate,major,status,check_date,complete_date,waiting_days_reported,waiting_days_calc,observed_days,event
2026-03,845157,superdupernoodl,F1,New,BeiJing,MBA,Clear,2026-03-03,2026-03-26,23,23,,1
2026-03,845074,EQ8651914,F1,New,BeiJing,finance,Clear,2026-03-03,2026-03-19,16,16,,1
2026-03,845048,ddddd,F1,New,BeiJing,MBA,Pending,2026-03-03,0000-00-00,24,,24,0
2026-03,844951,ROOKIE,F1,New,ShenYang,CS,Pending,2026-03-03,0000-00-00,24,,24,0
2026-03,845018,早日下签！,F1,New,HongKong,ME,Pending,2026-03-05,0000-00-00,22,,22,0
2026-03,844931,许愿5年签,F1,New,BeiJing,STEM,Clear,2026-03-05,2026-03-09,4,4,,1
2026-03,844948,202603F1,F1,New,BeiJing,EE,Pending,2026-03-05,0000-00-00,22,,22,0
2026-03,845078,一起加油,F1,New,BeiJing,CS,Clear,2026-03-09,2026-03-17,8,8,,1
2026-03,844971,5511,F1,New,BeiJing,Mechanical Engineering Ph,Pending,2026-03-09,0000-00-00,18,,18,0
2026-03,845028,Iain,F1,New,ShenYang,Business Administration (,Pending,2026-03-10,0000-00-00,17,,17,0
2026-03,845010,0310 F-1,F1,New,BeiJing,MechanicalEngineering PhD,Pending,2026-03-10,0000-00-00,17,,17,0
2026-03,845033,丝滑过了，,F1,New,BeiJing,CS PhD,Clear,2026-03-11,2026-03-12,1,1,,1
2026-03,845051,capoo,F1,New,HongKong,earth science,Pending,2026-03-13,0000-00-00,14,,14,0
2026-03,845127,DDDDD,F1,New,BeiJing,Dynamics,Clear,2026-03-20,2026-03-27,7,7,,1
2026-03,845128,阿谦,F1,New,BeiJing,Computer Engineering,Pending,2026-03-23,0000-00-00,4,,4,0
2026-03,845143,msz,F1,New,BeiJing,Computer Science,Pending,2026-03-25,0000-00-00,2,,2,0
2026-02,844617,teapot,F1,New,BeiJing,CS,Pending,2026-02-03,0000-00-00,52,,52,0
2026-02,844688,AAAbandon,F1,Renewal,BeiJing,Initial OPT (Neuro),Clear,2026-02-05,2026-02-10,5,5,,1
2026-02,844712,很难说想不,F1,Renewal,BeiJing,Immunology,Clear,2026-02-05,2026-03-20,43,43,,1
2026-02,845068,Matrix,F1,Renewal,BeiJing,Biophysics,Clear,2026-02-05,2026-03-19,42,42,,1
2026-02,844664,xuyanwen,F1,New,Others,BME,Clear,2026-02-09,2026-02-10,1,1,,1
2026-02,844702,速速下签！,F1,New,BeiJing,MBA,Clear,2026-02-10,2026-03-12,30,30,,1
2026-02,845000,BoyNextDoor,F1,Renewal,WuHan,CS,Pending,2026-02-10,0000-00-00,45,,45,0
2026-02,844975,还我机票,F1,New,ShenYang,MFE,Pending,2026-02-12,0000-00-00,43,,43,0
2026-02,845113,YourOpenClaw,F1,Renewal,BeiJing,Computational Biology (ST,Pending,2026-02-12,0000-00-00,43,,43,0
2026-02,844703,拽啊赶紧过,F1,Renewal,BeiJing,Biomedical Science,Pending,2026-02-13,0000-00-00,42,,42,0
2026-02,844734,clear_soon,F1,Renewal,BeiJing,CS STEM OPT,Pending,2026-02-13,0000-00-00,42,,42,0
2026-02,845146,明天下签,F1,Renewal,GuangZhou,Environmental Sciences,Pending,2026-02-13,0000-00-00,42,,42,0
2026-02,845158,pret2mono@gmail,F1,New,BeiJing,stem,Pending,2026-02-20,0000-00-00,35,,35,0
2026-02,844758,waterbuffalo1,F1,Renewal,HongKong,CS OPT,Clear,2026-02-23,2026-02-24,1,1,,1
2026-02,844952,只要下签让,F1,New,BeiJing,CS,Pending,2026-02-23,0000-00-00,32,,32,0
2026-02,845129,不要担心,F1,New,BeiJing,MBA,Reject,2026-02-23,2026-03-23,28,28,,1
2026-02,844809,求个五年签,F1,New,WuHan,MBA/Chemistry PHD backgro,Pending,2026-02-24,0000-00-00,31,,31,0
2026-02,844823,测试,F1,New,ShangHai,N/A,Pending,2026-02-24,0000-00-00,31,,31,0
2026-02,844885,记录一下,F1,Renewal,GuangZhou,Computer Engineering (Com,Pending,2026-02-24,0000-00-00,31,,31,0
2026-02,844923,QQ,F1,Renewal,BeiJing,Bio OPT,Clear,2026-02-26,2026-03-09,11,11,,1
2026-01,844189,下签下签下,F1,Renewal,Others,BME (Biomedical Engineeri,Clear,2026-01-05,2026-03-05,59,59,,1
2026-01,844347,plzzz,F1,Renewal,BeiJing,ECE,Pending,2026-01-05,0000-00-00,81,,81,0
2026-01,844376,已经结束力,F1,Renewal,ShenYang,Biostatistics,Clear,2026-01-06,2026-02-04,29,29,,1
2026-01,844429,shawn,F1,Renewal,Others,AI,Pending,2026-01-06,0000-00-00,80,,80,0
2026-01,844650,Lord have mercy,F1,Renewal,ShenYang,ORIE (Financial Engineeri,Pending,2026-01-06,0000-00-00,80,,80,0
2026-01,844994,BurningTime,F1,Renewal,WuHan,STEM,Clear,2026-01-07,2026-03-24,76,76,,1
2026-01,844245,gingerninja,F1,Renewal,BeiJing,ECE,Clear,2026-01-08,2026-03-03,54,54,,1
2026-01,844281,Ricardo,F1,New,BeiJing,EE,Clear,2026-01-08,2026-03-03,54,54,,1
2026-01,844385,hhan,F1,New,BeiJing,STEM,Clear,2026-01-08,2026-03-06,57,57,,1
2026-01,844461,AA00F59HOX,F1,Renewal,GuangZhou,Initial OPT,Pending,2026-01-08,0000-00-00,78,,78,0
2026-01,844303,顺顺利利,F1,Renewal,BeiJing,Information systems,Clear,2026-01-12,2026-03-17,64,64,,1
2026-01,844320,SUN,F1,New,ShenYang,Computer Information Syst,Pending,2026-01-13,0000-00-00,73,,73,0
2026-01,844354,56698,F1,Renewal,Vancouver,Aviation & Transportation,Pending,2026-01-14,0000-00-00,72,,72,0
2026-01,844663,啊啊啊啊啊,F1,Renewal,GuangZhou,STEM,Clear,2026-01-14,2026-03-19,64,64,,1
2026-01,845122,终于过了,F1,Renewal,BeiJing,Physics,Clear,2026-01-14,2026-03-19,64,64,,1
2026-01,844613,搞快点,F1,Renewal,ShangHai,CS,Clear,2026-01-15,2026-03-17,61,61,,1
2026-01,844402,快速approve,F1,Renewal,BeiJing,Animal sciences,Clear,2026-01-20,2026-01-23,3,3,,1
2026-01,844439,快下签！,F1,Renewal,BeiJing,ECE,Pending,2026-01-20,0000-00-00,66,,66,0
2026-01,844883,jjjzzz,F1,Renewal,BeiJing,Biology,Pending,2026-01-21,0000-00-00,65,,65,0
2026-01,844460,求求了,F1,Renewal,BeiJing,Biomedical Engineering,Pending,2026-01-22,0000-00-00,64,,64,0
2026-01,845124,heiheihei,F1,Renewal,WuHan,BME,Clear,2026-01-23,2026-03-24,60,60,,1
2026-01,844497,pertical,F1,Renewal,BeiJing,Mechanical Engineering,Pending,2026-01-26,0000-00-00,60,,60,0
2026-01,844976,捏蛋,F1,New,BeiJing,Mechanical Engineering,Pending,2026-01-27,0000-00-00,59,,59,0
2026-01,844574,mengxiayu,F1,Renewal,GuangZhou,Computer Science,Pending,2026-01-28,0000-00-00,58,,58,0
2026-01,845091,腾蛇乘务,F1,Renewal,BeiJing,Bioengineering,Clear,2026-01-28,2026-03-19,50,50,,1
2025-12,844295,求快快下签,F1,Renewal,GuangZhou,BE,Pending,2025-12-01,0000-00-00,116,,116,0
2025-12,844305,yliu1visa,F1,Renewal,BeiJing,Mechanical Engineering,Clear,2025-12-01,2026-03-12,101,101,,1
2025-12,844884,也太久了吧,F1,Renewal,BeiJing,Chemistry,Clear,2025-12-01,2026-03-02,91,91,,1
2025-12,843978,见贤思齐,F1,Renewal,WuHan,Chemistry PhD,Clear,2025-12-02,2026-03-03,91,91,,1
2025-12,844219,F1-OPT-Wuhan,F1,Renewal,Others,CS,Clear,2025-12-03,2026-03-03,90,90,,1
2025-12,844451,455972609,F1,New,BeiJing,CS,Pending,2025-12-03,0000-00-00,114,,114,0
2025-12,845047,你试过从冬,F1,Renewal,BeiJing,Computer Science,Clear,2025-12-03,2026-03-14,101,101,,1
2025-12,843912,冯ECE STEMOPT,F1,Renewal,BeiJing,EE,Pending,2025-12-04,0000-00-00,113,,113,0
2025-12,843917,下签下签下,F1,Renewal,GuangZhou,Microbiology,Clear,2025-12-04,2026-03-11,97,97,,1
2025-12,844141,蛋卷小王,F1,New,BeiJing,textile science,Clear,2025-12-04,2026-03-02,88,88,,1
2025-12,844396,下签please,F1,Renewal,BeiJing,ECE,Pending,2025-12-04,0000-00-00,113,,113,0
2025-12,844397,每年回国看,F1,Renewal,BeiJing,Biology,Clear,2025-12-04,2026-03-02,88,88,,1
2025-12,844407,求求了快下,F1,Renewal,BeiJing,Robotics,Pending,2025-12-04,0000-00-00,113,,113,0
2025-12,844441,等等等,F1,Renewal,BeiJing,CS,Clear,2025-12-04,2026-03-03,89,89,,1
2025-12,844482,Viola,F1,New,BeiJing,STEM,Pending,2025-12-04,0000-00-00,113,,113,0
2025-12,844256,Ball Ball,F1,Renewal,BeiJing,CS,Pending,2025-12-05,0000-00-00,112,,112,0
2025-12,844329,接下签,F1,New,GuangZhou,PDE,Pending,2025-12-05,0000-00-00,112,,112,0
2025-12,844557,check好慢啊,F1,Renewal,Others,CS,Pending,2025-12-05,0000-00-00,112,,112,0
2025-12,844567,ss,F1,Renewal,BeiJing,BME,Clear,2025-12-05,2026-03-10,95,95,,1
2025-12,844368,hyc,F1,Renewal,BeiJing,CS PhD,Pending,2025-12-07,0000-00-00,110,,110,0
2025-12,843980,校服会飞,F1,Renewal,BeiJing,ECE,Clear,2025-12-08,2025-12-12,4,4,,1
2025-12,844086,海女美大铁,F1,Renewal,GuangZhou,Computer Science,Clear,2025-12-08,2026-03-17,99,99,,1
2025-12,844111,jiuzheba,F1,Renewal,BeiJing,BME,Clear,2025-12-08,2026-03-10,92,92,,1
2025-12,844206,dhhad,F1,Renewal,GuangZhou,CS PhD,Pending,2025-12-08,0000-00-00,109,,109,0
2025-12,844214,Liiiicattyy,F1,Renewal,BeiJing,Chemistry,Clear,2025-12-08,2026-03-06,88,88,,1
2025-12,844446,绝命毒师,F1,Renewal,ShangHai,chemical engineering,Clear,2025-12-08,2026-02-23,77,77,,1
2025-12,844508,运气爆棚202,F1,Renewal,GuangZhou,CS,Pending,2025-12-08,0000-00-00,109,,109,0
2025-12,844527,运气爆棚201,F1,Renewal,GuangZhou,CS,Clear,2025-12-08,2026-03-09,91,91,,1
2025-12,844969,磨人的vo,F1,Renewal,BeiJing,N/A,Clear,2025-12-08,2026-03-10,92,92,,1
2025-12,844088,peterinpitt,F1,Renewal,BeiJing,Environmental Engineering,Clear,2025-12-09,2026-03-09,90,90,,1
2025-12,844201,累了,F1,New,BeiJing,CEE,Pending,2025-12-09,0000-00-00,108,,108,0
2025-12,844412,peaceminusone,F1,Renewal,BeiJing,ME,Clear,2025-12-09,2026-03-06,87,87,,1
2025-12,844934,Merry,F1,New,BeiJing,ECE MS,Clear,2025-12-09,2026-03-06,87,87,,1
2025-12,844019,求过求过QAQ,F1,Renewal,BeiJing,Computer Science,Pending,2025-12-10,0000-00-00,107,,107,0
